,Decision/Order Number,Date,Description,View Document,ApplID
79,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031675
80,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031675
81,WR 95-17,1995-10-26,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District¿..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District¿..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 96-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-17.pdf,A013965B
82,WR 96-01,1996-01-18,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District?..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District?..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 95-17.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1996/wro96-01.pdf,A013965B
83,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031674
84,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031674
85,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031674
86,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031673
87,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031673
88,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031673
89,2005-0001,2005-11-02,In the Matter of Application 30933 of Michael and Lorene Kuimelis in Sonoma County; Decision Issuing Permit; See also Order 2006-0005-EXEC,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2005/dd2005_0001.pdf,A030933
90,83-16,1983-11-17,In the Matter of Permits 18955 and 18956 (Applications 27020 and 27101) of Michael and Grace Jacobs Family Trust: Chandler Gulch and Shaw Gulch in San Mateo County.,In the Matter of Permits 18955 and 18956 (Applications 27020 and 271D1) of MICHAEL And GRACE JACOBS FAMILY TRUST: Chandler Gulch and Shaw Gulch in San Mateo County.,A027020
91,95-1,1995-01-19,"In the Matter of Petitions to Add Uses of Water to Licenses 465, 466, and 4822 and Permit 854 (Applications 760, 1042, 12263, and 1321) of U.S. FISH AND WILDLIFE SERVICE: Parker Creek, Pine Creek and Stockdill Slough in Modoc County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-01.pdf,A012263
92,95-1,1995-01-19,"In the Matter of Petitions to Add Uses of Water to Licenses 465, 466, and 4822 and Permit 854 (Applications 760, 1042, 12263, and 1321) of U.S. FISH AND WILDLIFE SERVICE: Parker Creek, Pine Creek and Stockdill Slough in Modoc County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-01.pdf,A001042
93,95-1,1995-01-19,"In the Matter of Petitions to Add Uses of Water to Licenses 465, 466, and 4822 and Permit 854 (Applications 760, 1042, 12263, and 1321) of U.S. FISH AND WILDLIFE SERVICE: Parker Creek, Pine Creek and Stockdill Slough in Modoc County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-01.pdf,A001321
94,1638,1997-09-18,"In the matter of Application 29408 and Wastewater Change Petition WW-6 of the City of Thousand Oaks to appropriate water from Arroyo Conejo, Conejo Creek and Callequas Creek in Ventura County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1638.pdf,A029408
95,80-7,1980-03-20,"In the Matter of Permitted Applications 11792, 12910, 12911, 12912, 13091, 13092, 13093, 18727, 18728, 1914B and 19149 of CALAVERAS COUNTY WATER DISTRICT: Stanislaus River and Tributaries in Tuolumne, Calaveras, Stanislaus and San Joaquin Counties.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1980/wro80-07.pdf,A011792A
96,80-9,1980-05-15,"In the Matter of Permitted Applications 11792, 12910, 12911, 12912, 13091, 13092, 13093, 18728, 19148, 18797, and 19149 of CALAVERAS COUNTY WATER DISTRICT: Stanislaus River and Tributaries in Tuolumne, Calaveras, Stanislaus and San Joaquin Counties. See also 80-7 and 80-21.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1980/wro80-09.pdf,A011792A
97,80-21,1980-11-20,"ln the Matter of Permitted Applications 11792, 72910, 12911, 12912, 13091, 13092, 13093, 18727, 18728, 19148, and 19149 of CALAVERAS COUNTY WATER DISTRICT: Stanislaus River and Tributaries in Tuolumne, Calaveras, Stanislaus, and San Joaquin Counties. See also 80-7 and 80-9.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1980/wro80-21.pdf,A011792A
98,2003-0001,2003-01-13,"In the Matter of Applications 29498, 29724, and 29725 of William Morgan and Application 31054 of Kurt and Iria Blasek in Solano and Yolo Counties; Order Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2003/dd2003_0001.pdf,A029498
99,2003-0001,2003-01-13,"In the Matter of Applications 29498, 29724, and 29725 of William Morgan and Application 31054 of Kurt and Iria Blasek in Solano and Yolo Counties; Order Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2003/dd2003_0001.pdf,A031054
100,2003-0001,2003-01-13,"In the Matter of Applications 29498, 29724, and 29725 of William Morgan and Application 31054 of Kurt and Iria Blasek in Solano and Yolo Counties; Order Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2003/dd2003_0001.pdf,A029724
101,1338,1969-10-16,"In the matter of Applications 22423,22454, and 22516 to Appropriate Water from the Santa Ynez River in Santa Barbara County. Original decision issued 05/01/1969 and subsequently revised by Board Order 69-WRD1338 on 10/16/1969.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1300_d1349/wrd1338.pdf,A022454
102,69-WRD1338,1969-10-16,"In the Matter of Application 22423 of Solvang Municipal Improvement District to Appropriate from Santa Ynez River Underflow, Application 22454 of Petan Company¿to Appropriate from Alfsal Creek, and Application 22516 of Buellton Community Services District to Appropriate from Santa Ynez River Underflow, in Santa Barbara County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1969/wro69_wrd1338.pdf,A022454
103,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,A030497
104,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A030497
105,97-02,1997-05-14,In the Matter of the Petition for Reconsideration of Permitted Application 30497 of Margaret Eastwood Trust: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-02.pdf,A030497
106,2000-0001,2000-01-28,In the Matter of Application 29711 of Edward Bennett and Deborah Cahn in Mendocino County; Order Issuing Permit; See also Order 2000-0005,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2000/2000_01dec.pdf,A029711
107,WR 95-17,1995-10-26,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District¿..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District¿..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 96-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-17.pdf,A013965A
108,WR 96-01,1996-01-18,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District?..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District?..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 95-17.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1996/wro96-01.pdf,A013965A
109,WR 95-17,1995-10-26,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District¿..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District¿..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 96-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-17.pdf,A013965
110,WR 96-01,1996-01-18,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District?..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District?..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 95-17.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1996/wro96-01.pdf,A013965
111,1999-0002,1999-11-01,In the Matter of Application 29907 of Donald and Maureen Cahn in Mendocino County; Order Issuing Permit,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/1999/1999_02dec.pdf,A029907
112,1999-0001,1999-09-24,In the Matter of Application 29664 of the Garrapata County in Monterey County: Decision Dismissing Protests and Issuing Permit,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/1999/1999_01dec.pdf,A029664
113,WR 77-11,1977-10-20,"In the Matter of Permits 5881, 5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. Corps of Engineers, et al.: Salinas River in San Luis Obispo County. See also Orders WR 74-20, WR 77-6, WR 78-3, 2000-13, 2001-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1977/wro77_11.pdf,A011745
114,WR 74-20,1974-06-20,"In the Matter of Permits 5881, 5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. Corps of Engineers, et al.: Salinas River in San Luis Obispo County. See also Orders WR 77-6, WR 77-11, WR 78-3, 2000-13, and 2001-01.",,A011745
115,WR 77-6,1977-06-16,"In the Matter of Permits 5881, \'5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. Corps of Engineers, et al: Salinas River in San Luis Obispo County. See also Orders WR 74-20, 77-11, WR 78-3, 2000-13, and 2001-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1977/wro77_06.pdf,A011745
116,WR 78-3,1978-02-14,"In the Matter of Permits 5881, 5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. CORPS OF ENGINEERS: Salinas River in San Luis Obispo County. See also Orders WR 74-20, WR 77-6, WR 77-11, 2000-13, and 2001-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1978/wro78_03.pdf,A011745
117,1999-0003,1999-12-27,In the Matter of Application 30657 of Lake Madrone Water District in Butte County; Order Issuing Permit,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/1999/1999_03dec.pdf,A030657
118,1638,1997-09-18,"In the matter of Application 29408 and Wastewater Change Petition WW-6 of the City of Thousand Oaks to appropriate water from Arroyo Conejo, Conejo Creek and Callequas Creek in Ventura County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1638.pdf,WW0006
119,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,A030511
120,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A030511
121,2003-0014,2003-06-18,"In the Matter of Petitions for Reconsideration, Of Order Making Determinations Pursuant to Condition 10 of Decision 1632 WOLTER PROPERTIES LIMITED PARTNERSHIP; MICHAEL P. GROOM, TRUSTEE FOR FREDERICK AND PATRICIA HOLT; A. C. AND LINDA MARKKULA; KOREAN SAMBOSA BUDDHIST TEMPLE; HOMESTEAD HOMEOWNERS ASSOCIATION; CHUGACH & CO.; RICHARD EVANS; DONALD R. KOONTZ; NOVELLA NICHOLSON; AND BRUCE AND BETH STERTEN ¿ Carmel River in Monterey County",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2003/wro2003-14.pdf,A030511
122,WR 77-11,1977-10-20,"In the Matter of Permits 5881, 5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. Corps of Engineers, et al.: Salinas River in San Luis Obispo County. See also Orders WR 74-20, WR 77-6, WR 78-3, 2000-13, 2001-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1977/wro77_11.pdf,A010211
123,WR 74-20,1974-06-20,"In the Matter of Permits 5881, 5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. Corps of Engineers, et al.: Salinas River in San Luis Obispo County. See also Orders WR 77-6, WR 77-11, WR 78-3, 2000-13, and 2001-01.",,A010211
124,WR 77-6,1977-06-16,"In the Matter of Permits 5881, \'5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. Corps of Engineers, et al: Salinas River in San Luis Obispo County. See also Orders WR 74-20, 77-11, WR 78-3, 2000-13, and 2001-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1977/wro77_06.pdf,A010211
125,WR 78-3,1978-02-14,"In the Matter of Permits 5881, 5882, and 7253 (Applications 10211, 10216, and 11745) of U. S. CORPS OF ENGINEERS: Salinas River in San Luis Obispo County. See also Orders WR 74-20, WR 77-6, WR 77-11, 2000-13, and 2001-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1978/wro78_03.pdf,A010211
126,1984-0060,1984-09-20,RESOLUTION Directing the Executive Director to refer to the Attorney General the matter of unauthorized diversion of water by storage in a reservoir of Charles H. Butler on Shaw Gulch in San Mateo County,http://www.waterboards.ca.gov/board_decisions/adopted_orders/resolutions/1984/rs1984_0060.pdf,A028507
127,83-16,1983-11-17,In the Matter of Permits 18955 and 18956 (Applications 27020 and 27101) of Michael and Grace Jacobs Family Trust: Chandler Gulch and Shaw Gulch in San Mateo County.,In the Matter of Permits 18955 and 18956 (Applications 27020 and 271D1) of MICHAEL And GRACE JACOBS FAMILY TRUST: Chandler Gulch and Shaw Gulch in San Mateo County.,A027101
128,1999-0004,1999-12-29,In the Matter of Application 29740 of John Scully in Napa County; Order Issuing Permit,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/1999/1999_04dec.pdf,A029740
129,WR 2011-0014-EXEC,2011-06-10,In the Matter of Petition for Reconsideration of San Joaquin County Regarding Order Canceling Application 29657 ¿ Order Granting Reconsideration,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2011/wro2011_0014.pdf,A029657
130,WR 95-17,1995-10-26,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District¿..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District¿..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 96-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-17.pdf,A025062
131,WR 96-01,1996-01-18,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District?..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District?..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 95-17.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1996/wro96-01.pdf,A025062
132,93-08,1993-11-18,In the Matter of Permit 19572 (Application 28156) of J. E. Jensen: Various Diversion Points in Harlan Creek Drainage in San Benito County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1993/wro93-08.pdf,A028156
133,2000-17,2000-12-13,In the Matter of Minor Protested Petitions Permit 19572 (Application 28156) of J.E. Jensen: Harlan Creek and Unnamed tributaries (aka. Ladder Creek) in San Benito County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2000/wro2000-17.pdf,A028156
134,94-02,1994-02-02,In the Matter of Permit 19572 (Application 28156) of J. E. Jensen: Various Diversion Points in Harlan Creek Drainage in San Benito County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1994/wro94-02.pdf,A028156
135,95-4,1995-02-16,In the Matter of the Diversion and Use of Water from Big Bear Lake and Bear Creek in San Bernardino County: BIG BEAR MUNICIPAL WATER DISTRICT and BEAR VALLEY MUTUAL WATER COMPANY.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-04.pdf,S012227
136,95-5,1995-05-03,In the Matter of the Diversion and Use of Water from Big Bear Lake and Bear Creek in San Bernardino County: BIG BEAR MUNICIPAL WATER DISTRICT and BEAR VALLEY MUTUAL WATER COMPANY.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-05.pdf,S012227
137,2008-0007-DWR,2008-01-08,Big Bear Municipal Water District and Big Valley Mutual Water Company - Order Approving Petition to Modify Order WR 95-4,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-05.pdf,S012227
138,76-12,1976-09-16,In the Matter of Permits 11043 and 11044 (Applications 13225 and 13226) of MONTEREY COUNTY FLOOD CONTROL AND WATER CONSERVATION DISTRICT: Salinas River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1976/wro76_12.pdf,A013226
139,82-13,1982-11-18,In the Matter of Permits 11043 and 11044 (Applications 13225 and 13226) of MONTEREY COUNTY FLOOD CONTROL AND WATER CONSERVATION DISTRICT: Salinas River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1982/wro82-13.pdf,A013226
140,1401,1972-08-03,In the matter of application 23728 of Bergman to appropriate water from an unnamed stream in San Luis Obispo County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1400_d1449/wrd1401.pdf,A023728
141,1582,1982-04-07,"In the matter of application 26242, 9892, 14278, 17317 of Marin Municipal Water District to appropriate water from Lagunitas Creek in Marin County. See also Order WR 95-17 and Order WR 96-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1550_d1599/wrd1582.pdf,A026242
